Tech00-B01-R01-T01-N01;1;1;104;204;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;2441;282;616;677;616;2159;2150;9;(800.0, 1600.0);(640.0, 1600.0);(747.7, 1647.5);(1365.5, 1505.0);(82.4, 1473.3);(739.8, 1592.1);(800.0, 1600.0);(1417.8, 1457.4);(-93.5, 1457.4);(635.2, 1576.2);1#104#204#(82.4, 1473.3)#(82.4, 1473.3)#1630098540236#1630098540236#0#;1#104#204#800.0001#1600#1630098538415#1630098539092#1630098538697#1630098540856#747.7228#1647.525#1365.545#1504.95#800.0001#1600#1417.822#1457.426#;1#104#204#640#1600#1630098540236#1630098540852#1630098538702#1630098540852#82.37619#1473.267#739.8019#1592.079#-93.46524#1457.426#635.2476#1576.238#;concave;180;1630098541085;24.91797;2021/8/27 14:08:56;2021/8/27 14:09:01;
Tech00-B01-R01-T01-N01;1;1;206;107;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;2444;190;935;582;935;2254;2244;10;(1280.0, 160.0);(160.0, 160.0);(1254.7, 205.9);(-52.3, 641.6);(1374.7, 612.1);(142.8, 186.0);(1280.0, 160.0);(-26.9, 595.6);(1563.6, 508.5);(181.1, 169.5);1#206#107#(1374.7, 612.1)#(1374.7, 612.1)#1630272298852#1630272298852#0#;1#206#107#1280#159.9999#1630272297349#1630272297931#1630272297539#1630272299793#1254.654#205.9405#-52.27716#641.5841#1280#159.9999#-26.93084#595.6435#;1#206#107#160#159.9999#1630272298852#1630272299787#1630272297543#1630272299787#1374.722#612.1066#142.7603#185.9565#1563.564#508.5149#181.1079#169.4934#;concave;180;1630272300028;30.21633;2021/8/29 14:24:55;2021/8/29 14:25:00;
9;direct_drag;landscape;90;Tech00-B01-R01-T01-N01;1;1;206;107;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;2444;190;935;582;935;2254;2244;10;(1280.0, 160.0);(160.0, 160.0);(1254.7, 205.9);(-52.3, 641.6);(1374.7, 612.1);(142.8, 186.0);(1280.0, 160.0);(-26.9, 595.6);(1563.6, 508.5);(181.1, 169.5);1#206#107#(1374.7, 612.1)#(1374.7, 612.1)#1630272298852#1630272298852#0#;1#206#107#1280#159.9999#1630272297349#1630272297931#1630272297539#1630272299793#1254.654#205.9405#-52.27716#641.5841#1280#159.9999#-26.93084#595.6435#;1#206#107#160#159.9999#1630272298852#1630272299787#1630272297543#1630272299787#1374.722#612.1066#142.7603#185.9565#1563.564#508.5149#181.1079#169.4934#;concave;180;1630272300028;30.21633;2021/8/29 14:24:55;2021/8/29 14:25:00;
Tech00-B01-R01-T02-N02;2;2;100;200;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;3596;395;890;787;890;3201;3191;10;(589.6, 2556.7);(850.4, 643.3);(561.2, 2572.4);(1413.5, 1627.1);(74.5, 1615.8);(898.2, 641.6);(589.6, 2556.7);(1441.9, 1611.4);(-106.6, 1704.4);(825.7, 637.1);2#100#200#(74.5, 1615.8)#(74.5, 1615.8)#1630272303722#1630272303722#0#;2#100#200#589.6143#2556.684#1630272301021#1630272301808#1630272301416#1630272304617#561.1623#2572.397#1413.463#1627.119#589.6143#2556.684#1441.915#1611.405#;2#100#200#850.3857#643.316#1630272303722#1630272304612#1630272301421#1630272304612#74.45552#1615.842#898.2179#641.5841#-106.5603#1704.384#825.677#637.148#;concave;180;1630272304840;35.03332;2021/8/29 14:25:00;2021/8/29 14:25:04;
9;direct_drag;landscape;90;Tech00-B01-R01-T02-N02;2;2;100;200;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;3596;395;890;787;890;3201;3191;10;(589.6, 2556.7);(850.4, 643.3);(561.2, 2572.4);(1413.5, 1627.1);(74.5, 1615.8);(898.2, 641.6);(589.6, 2556.7);(1441.9, 1611.4);(-106.6, 1704.4);(825.7, 637.1);2#100#200#(74.5, 1615.8)#(74.5, 1615.8)#1630272303722#1630272303722#0#;2#100#200#589.6143#2556.684#1630272301021#1630272301808#1630272301416#1630272304617#561.1623#2572.397#1413.463#1627.119#589.6143#2556.684#1441.915#1611.405#;2#100#200#850.3857#643.316#1630272303722#1630272304612#1630272301421#1630272304612#74.45552#1615.842#898.2179#641.5841#-106.5603#1704.384#825.677#637.148#;concave;180;1630272304840;35.03332;2021/8/29 14:25:00;2021/8/29 14:25:04;
Tech00-B01-R01-T03-N03;3;3;106;207;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;2669;481;969;748;969;2188;2173;15;(160.0, 3040.0);(1280.0, 3040.0);(88.5, 3052.8);(1429.0, 2285.7);(114.1, 2265.3);(1381.4, 3002.0);(160.0, 3040.0);(1500.4, 2272.9);(-117.8, 2342.7);(1272.3, 2993.7);3#106#207#(114.1, 2265.3)#(114.1, 2265.3)#1630272309105#1630272309105#0#;3#106#207#160#3040#1630272307413#1630272308161#1630272307894#1630272310082#88.52303#3052.785#1428.959#2285.714#160#3040#1500.436#2272.93#;3#106#207#1280#3040#1630272309105#1630272310074#1630272307901#1630272310074#114.0595#2265.346#1381.386#3001.98#-117.7724#2342.663#1272.317#2993.722#;concave;180;1630272310307;40.50054;2021/8/29 14:25:04;2021/8/29 14:25:10;
9;direct_drag;landscape;90;Tech00-B01-R01-T03-N03;3;3;106;207;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;2669;481;969;748;969;2188;2173;15;(160.0, 3040.0);(1280.0, 3040.0);(88.5, 3052.8);(1429.0, 2285.7);(114.1, 2265.3);(1381.4, 3002.0);(160.0, 3040.0);(1500.4, 2272.9);(-117.8, 2342.7);(1272.3, 2993.7);3#106#207#(114.1, 2265.3)#(114.1, 2265.3)#1630272309105#1630272309105#0#;3#106#207#160#3040#1630272307413#1630272308161#1630272307894#1630272310082#88.52303#3052.785#1428.959#2285.714#160#3040#1500.436#2272.93#;3#106#207#1280#3040#1630272309105#1630272310074#1630272307901#1630272310074#114.0595#2265.346#1381.386#3001.98#-117.7724#2342.663#1272.317#2993.722#;concave;180;1630272310307;40.50054;2021/8/29 14:25:04;2021/8/29 14:25:10;
Tech00-B01-R01-T01-N01;1;1;107;206;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;3094;478;1193;968;1193;2616;2589;27;(160.0, 160.0);(1280.0, 160.0);(189.2, 224.7);(1467.7, 650.8);(58.6, 617.8);(1310.1, 221.8);(160.0, 160.0);(1438.5, 586.2);(-125.5, 524.2);(1249.9, 190.1);1#107#206#(58.6, 617.8)#(58.6, 617.8)#1630272335520#1630272335520#0#;1#107#206#160#159.9999#1630272333637#1630272334605#1630272334115#1630272336731#189.2494#224.6974#1467.7#650.8475#160#159.9999#1438.45#586.1501#;1#107#206#1280#159.9999#1630272335520#1630272336713#1630272334124#1630272336713#58.61393#617.8217#1310.099#221.7821#-125.5205#524.1647#1249.936#190.1105#;concave;180;1630272336952;19.7377;2021/8/29 14:25:32;2021/8/29 14:25:36;
11;direct_drag;protrait;90;Tech00-B01-R01-T01-N01;1;1;107;206;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;3094;478;1193;968;1193;2616;2589;27;(160.0, 160.0);(1280.0, 160.0);(189.2, 224.7);(1467.7, 650.8);(58.6, 617.8);(1310.1, 221.8);(160.0, 160.0);(1438.5, 586.2);(-125.5, 524.2);(1249.9, 190.1);1#107#206#(58.6, 617.8)#(58.6, 617.8)#1630272335520#1630272335520#0#;1#107#206#160#159.9999#1630272333637#1630272334605#1630272334115#1630272336731#189.2494#224.6974#1467.7#650.8475#160#159.9999#1438.45#586.1501#;1#107#206#1280#159.9999#1630272335520#1630272336713#1630272334124#1630272336713#58.61393#617.8217#1310.099#221.7821#-125.5205#524.1647#1249.936#190.1105#;concave;180;1630272336952;19.7377;2021/8/29 14:25:32;2021/8/29 14:25:36;
Tech00-B01-R01-T02-N02;2;2;106;207;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;2559;479;976;839;976;2080;2074;6;(160.0, 3040.0);(1280.0, 3040.0);(142.8, 3060.5);(1467.7, 2463.9);(106.1, 2447.5);(1349.7, 3081.2);(160.0, 3040.0);(1484.9, 2443.4);(-117.8, 2544.1);(1272.7, 3029.5);2#106#207#(106.1, 2447.5)#(106.1, 2447.5)#1630272340675#1630272340675#0#;2#106#207#160#3040#1630272339096#1630272339935#1630272339575#1630272341655#142.7603#3060.533#1467.7#2463.923#160#3040#1484.94#2443.39#;2#106#207#1280#3040#1630272340675#1630272341651#1630272339577#1630272341651#106.1387#2447.525#1349.703#3081.188#-117.7724#2544.116#1272.662#3029.528#;concave;180;1630272341879;24.67098;2021/8/29 14:25:36;2021/8/29 14:25:41;
11;direct_drag;protrait;90;Tech00-B01-R01-T02-N02;2;2;106;207;True;True;True;direct_drag_success;direct_drag_success;direct_drag_success;2559;479;976;839;976;2080;2074;6;(160.0, 3040.0);(1280.0, 3040.0);(142.8, 3060.5);(1467.7, 2463.9);(106.1, 2447.5);(1349.7, 3081.2);(160.0, 3040.0);(1484.9, 2443.4);(-117.8, 2544.1);(1272.7, 3029.5);2#106#207#(106.1, 2447.5)#(106.1, 2447.5)#1630272340675#1630272340675#0#;2#106#207#160#3040#1630272339096#1630272339935#1630272339575#1630272341655#142.7603#3060.533#1467.7#2463.923#160#3040#1484.94#2443.39#;2#106#207#1280#3040#1630272340675#1630272341651#1630272339577#1630272341651#106.1387#2447.525#1349.703#3081.188#-117.7724#2544.116#1272.662#3029.528#;concave;180;1630272341879;24.67098;2021/8/29 14:25:36;2021/8/29 14:25:41;
